																																																					
	April 2021			May 2021			June 2021			July 2021			August 2021			September 2021			October 2021			November 2021			December 2021			January 2022			February 2022			March 2022			April 2022			May 2022			June 2022			July 2022			August 2022			September 2022	
	leg press	10x80 + 10x100 + 10x110 + 10x90		russian twist	20x8 + 25x8		low row	12x75 x4		04/07/2021	push											04/11/2021	pull		03/12/2021	push		03/01/2022	shoulder push		03/02/2022	shoulder push		03/03/2022	dead pull		03/04/2022	leg		03/05/2022	shoulder push		03/06/2022	cardio		03/07/2022	missed		03/08/2022	arm push		03/09/2022	core + forearm
	cable curl	10x20 x2 10x17.5 x4		sit up	30x8		preacher curl	12x25 x4		bench press	5x60 + 5x65 + 5x70 x3		04/08/2021	mix		22/09/2021	core		04/10/2021			preacher curl	12x30 x4		bench press	5x70 + 2x80 + 5x75 x2 + 2x75		lateral raise	12x10 x4		bench press	5x80 + 4x80 + 5x75 x2		deadlift	6x80 + 6x90 + 6x100 x2 + 8x90		squat	6x70 + 6x80 + 6x90 + 6x80		bench press	5x80 + 4x80 + 6x75								bench press	7x70 + 5x75 + 2x80 + 5x70		sit up	20x28 + 16x28 x2
	lateral raise	10x6 x4		lateral raise	10x7 x3		close grip pull down	12x55 x4		skull crusher	12x30 x4		chest press	12x55 + 6x55 + 12x45 x2		abdominal crunch	12x35 x4		skull crusher	12x30 x4		low row	12x92.5 x4		skull crusher	12x30 x3		shoulder press	12x40 x3 + 12x30		lateral raise	20x10 + 16x10 x3		low row	20x80 + 16x90 x2		calf raise	20x160 x3		shoulder press	16x70 + 12x80 x2								dip	16x10 x2 + 12x10		russian twist	20x10 x3
	preacher curl	10x15 + 10x20 x4		shrug	16x24 x3		russian twist	30x8		chest press	12x60 + 6x60		hanging leg raise	20 x4		hanging leg raise	20 x4		bench press	5x40 + 5x60 x2 + 4x65 + 3x65		bench press	5x60 + 5x70 + 5x72.5 x3					dip	12 x4		shoulder press	16x60 + 12x70 x3		lateral pull down	12x50 + 11x60 + 14x50 x2		leg press	16x220 + 12x260 + 8x260		chest fly	12x12 x3								chest fly	12x12 x4		forearm	20x16 x2 + 16x16
	shrug	10x16 x3					sit up	30x8					leg press	12x100 x6		russian twist	45x12		cable push down	12x22.5 x4		calf raise	16x140 x2 + 16x160 x3								pectoral	16x15 x3		preacher curl	16x25 + 20x25 + 16x25		leg extension	12x70 + 12x60		lateral raise	12x8 x3								cable push down	16x25 x3			
	abductor	10x55 + 10x60 x5		03/05/2021	mix		cable curl	12x17.5 x4		05/07/2021	leg		low row	12x45 x4		sit up	35x12		leg press	12x100 + 12x120 x2		cable curl	12x25 x4														leg curl	12x60 x2		dip	12x10 x2												
	adductor	10x50 + 16x55 + 10x60 x2 10x55 x2		low row	10x55 x4 + 15x55		lateral raise	12x7 x3		squat	6x60 x3 + 6x70					possum	12 x3					chin up	12 x4																														
	abdominal crunch	10x30 + 10x35 + 10x40 + 10x45		russian twist	30x8					leg press	12x100 x2 + 12x120 x2		19/08/2021	mix					05/10/2021	pull																																	
	bench press	5x30 + 1x40 + 1x50		sit up	25x8		04/06/2021	push		abductor	12x60 + 20x60 x3		low row	12x70 x4		23/09/2021	leg		low row	12x80 x4		05/11/2021	mix																														
	russian twist	35x5		lateral raise	10x7 x3		chest press	12x60 x4		leg extension	12x82.5 x2		preacher curl	12x20 x4		squat	8x40 + 6x50 + 6x60 x2 + 2x80		preacher curl	12x25 x4		bench press	5x60 x5		04/12/2021	pull		04/01/2022	squat other		04/02/2022	barbell pull		04/03/2022	core + forearm		04/04/2022	arm push		04/05/2022	dead pull		04/06/2022	cardio		04/07/2022	missed		04/08/2022	barbell pull		04/09/2022	pull
